기능,도메인,Method,URL,Query Params,Request,Response,담당자
헬스체크,공통,GET,/api/v1/health,,,"Response (200 OK)
{ ""status"": ""healthy"",
  ""version"": ""string"",
  ""uptime_seconds"": 12345,
  ""database"": ""connected"",
  ""opensearch"": ""connected"" }",
회원가입,사용자,POST,/api/v1/auth/signup,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"",
  ""nickname"": ""string"" }","Response (201 Created)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""string (BIGINT)"",
    ""email"": ""string"",
    ""nickname"": ""string"",
    ""created_at"": ""ISO 8601""
  } }

※ user_id는 ERD v6.2에서 BIGINT(불변식 #1). JSON은 JS Number 정밀도 한계(2^53)를 피하기 위해 문자열로 직렬화.",
로그인,사용자,POST,/api/v1/auth/login,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""string (BIGINT)"",
    ""email"": ""string"",
    ""nickname"": ""string""
  } }

※ user_id는 ERD v6.2에서 BIGINT(불변식 #1). JSON은 문자열로 직렬화.",
Google 소셜 로그인,사용자,POST,/api/v1/auth/google,,"Request Body:
{ ""id_token"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""string (BIGINT)"",
    ""email"": ""string"",
    ""nickname"": ""string""
  },
  ""is_new_user"": true }

※ user_id는 ERD v6.2에서 BIGINT(불변식 #1). JSON은 문자열로 직렬화.
※ Google Calendar scope가 기본 요청에 포함되면 refresh_token을 http://users.google_calendar_refresh_token에 저장 (Gap #G4 옵션 A, 사용자 승인 대기).",
Google Calendar 연동 URL 발급,사용자,GET,/api/v1/auth/google/calendar,,,"Response (200 OK)
{ ""auth_url"": ""string"" }

• JWT Authorization 헤더 필수.
• 반환된 auth_url로 사용자를 리다이렉트.
• state 파라미터는 HMAC-SHA256(jwt_secret)으로 서명, 10분 유효.",강민서
Google Calendar OAuth 콜백,사용자,GET,/api/v1/auth/google/calendar/callback,"• code: 구글 인증 코드
• state: HMAC-SHA256 서명된 검증값
• error: 인증 거부 시 구글이 전달",(구글이 직접 호출 — Request Body 없음),"Response (200 OK)
{ ""message"": ""Google Calendar 연동이 완료되었습니다."" }

• JWT 없음 (구글이 호출).
• state 서명 검증 + 10분 만료 확인 → 실패 시 400.
• user_oauth_tokens 테이블 ON CONFLICT DO UPDATE upsert.",강민서
비밀번호 변경,사용자,PATCH,/api/v1/users/me/password,,"Request Body:
{ ""old_password"": ""string"",
  ""new_password"": ""string"" }","Response (200 OK)
{ ""message"": ""Password updated"" }",
닉네임 변경,사용자,PATCH,/api/v1/users/me,,"Request Body:
{ ""nickname"": ""string"" }","Response (200 OK)
{ ""user_id"": ""string (BIGINT)"",
  ""email"": ""string"",
  ""nickname"": ""string"",
  ""updated_at"": ""ISO 8601"" }

※ user_id는 ERD v6.2에서 BIGINT(불변식 #1). JSON은 문자열로 직렬화.",
채팅 시작 (WebSocket),채팅,WS,/api/v1/chat/ws,"• thread_id: 채팅 세션 ID (없으면 새로 생성)
• token: JWT 인증 토큰","Client → Server:
{ ""type"": ""message"",
  ""content"": ""string"" }","Server → Client:
{ ""type"": ""intent"" | ""status"" | ""text_stream"" | ""place"" | ""places"" | ""events"" | ""course"" | ""map_markers"" | ""map_route"" | ""chart"" | ""calendar"" | ""references"" | ""analysis_sources"" | ""disambiguation"" | ""done"" | ""error"",
  ""content"": {} }

• 1프레임 = 1블록 (JSON)
• done이 오면 응답 종료
• error에 retryable 플래그 포함",
WS: 행사 검색 (EVENT_SEARCH),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""이번 주말 서울 전시회"" }","응답 블록 순서:
intent → status → text_stream → events[] → done

events 블록:
{ ""items"": [
  { ""event_id"": ""uuid"",
    ""title"": ""string"",
    ""date_start"": ""date"",
    ""date_end"": ""date"",
    ""place_name"": ""string"",
    ""price"": ""string"",
    ""detail_url"": ""string"",
    ""source"": ""db"" | ""naver"" }
] }",
