주 기능,Phase,구분,구현,담당자,비고,상세 구현,상세 기능,진행 여부
[삭제] 즐겨찾기 - 북마크로 대체,,,,,,,,시작 전
이미지 분석,,,,,,,,시작 전
,,,1.3.1 세션 영속 저장,,현재 MemorySaver (인메모리),langgraph-checkpoint-postgres로 thread_id 기반 체크포인트. 동일 thread_id 재연결 시 이전 상태 복원,,시작 전
,,,1.3.2 이전 대화 목록 조회,,,GET /api/v1/chats → checkpoint 테이블에서 user_id별 thread 목록 반환,,시작 전
,,,1.2.2 16종 블록 렌더링,,text/place/map 확인. 나머지 진행 중,"intent, text, place, places, events, course, map_markers, map_route, chart, calendar, references, analysis_sources, favorites, done, error 블록 타입 정의",,진행 중
,,,1.2.1 WebSocket 토큰 스트리밍,,,FastAPI WebSocket → 프론트 실시간 타이핑. text_stream 블록으로 LLM 응답 토큰 단위 전송,,완료
,,,1.1.2 멀티턴 의도 유지,,Checkpointer 전환 후 검증,"이전 대화 맥락에서 의도를 유지하여 후속 질문 처리 (""거기 영업시간은?"" → DETAIL_INQUIRY)",,시작 전
1. 공통,,,1.1.1 자연어 → 13개 Intent 자동 분류,,,"Gemini 2.5 Flash JSON mode. PLACE_SEARCH, PLACE_RECOMMEND, EVENT_SEARCH, COURSE_PLAN, BOOKING, GENERAL 등 12+1개 의도 자동 라우팅",,완료
,,,2.3.2 OSRM 도보 경로 폴리라인,,P0. map_route 노드 미구현,코스 추천/경로 표시 시 실제 도보 경로를 폴리라인으로 렌더링. map_route 블록,,시작 전
,,,2.5.1 OCR 경로 (간판 있음),,P2. 노드 미구현,easyocr로 상호명 추출 → DB 검색 → 찾으면 장소 특정. 체인점이면 PostGIS로 가장 가까운 지점 반환. LLM 0회 호출,,시작 전
,,,2.1.2 RAG 검색 전환,,P1. places_vector 100건만 적재,"Text-to-SQL(Cloud SQL PostgreSQL+PostGIS) + places_vector k-NN(OpenSearch GCE, Gemini 768d) 병합 검색. 정형 조건은 SQL, 비정형 조건은 벡터",,시작 전
,,,2.2.2 DB/API 병렬 검색,,P0. 기획서에 Haversine으로 표기되어 있으나 PostGIS로 통일,PostGIS ST_DWithin 반경 검색(DB) + Google Places Text Search(확장 쿼리 3개) 병렬 → 합산/중복제거,,시작 전
,,,2.2.1 LLM 쿼리 확장,,,"""카공하기 좋은"" → ""콘센트 카페"", ""스터디 카페"", ""넓은 테이블 카페""로 동의어/구체화 확장. Gemini JSON mode",,완료
,,,2.2.3 place_analysis 리랭킹,,P0. place_analysis 17건만 존재,6개 지표 가중 스코어링. 가중치 프리셋(study/date/budget/family/default) 하드코딩. 분석 없는 장소는 rating+popularity로 폴백,,시작 전
,,,2.4.1 DeepLink 5개 카테고리,,,"음식점(네이버/카카오), 행사(예스 24/인터파크), 공공시설(서울시 예약), 숙박(야놀자), 관광지(한국관광공사) 딕링크 생성",,완료
