기능,도메인,Method,URL,Query Params,Request,Response,담당자
헬스체크,공통,GET,/api/v1/health,,,"Response (200 OK)
{ ""status"": ""healthy"",
  ""version"": ""string"",
  ""uptime_seconds"": 12345,
  ""database"": ""connected"",
  ""opensearch"": ""connected"" }",
회원가입,사용자,POST,/api/v1/auth/signup,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"",
  ""nickname"": ""string"" }","Response (201 Created)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""uuid"",
    ""email"": ""string"",
    ""nickname"": ""string"",
    ""created_at"": ""ISO 8601""
  } }",
로그인,사용자,POST,/api/v1/auth/login,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""uuid"",
    ""email"": ""string"",
    ""nickname"": ""string""
  } }",
Google 소셜 로그인,사용자,POST,/api/v1/auth/google,,"Request Body:
{ ""id_token"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""uuid"",
    ""email"": ""string"",
    ""nickname"": ""string""
  },
  ""is_new_user"": true }",
비밀번호 변경,사용자,PATCH,/api/v1/users/me/password,,"Request Body:
{ ""old_password"": ""string"",
  ""new_password"": ""string"" }","Response (200 OK)
{ ""message"": ""Password updated"" }",
닉네임 변경,사용자,PATCH,/api/v1/users/me,,"Request Body:
{ ""nickname"": ""string"" }","Response (200 OK)
{ ""user_id"": ""uuid"",
  ""email"": ""string"",
  ""nickname"": ""string"",
  ""updated_at"": ""ISO 8601"" }",
채팅 시작 (WebSocket),채팅,WS,/api/v1/chat/ws,"• thread_id: 채팅 세션 ID (없으면 새로 생성)
• token: JWT 인증 토큰","Client → Server:
{ ""type"": ""message"",
  ""content"": ""string"" }","Server → Client:
{ ""type"": ""intent"" | ""status"" | ""text_stream"" | ""place"" | ""places"" | ""events"" | ""course"" | ""map_markers"" | ""map_route"" | ""chart"" | ""calendar"" | ""references"" | ""analysis_sources"" | ""disambiguation"" | ""done"" | ""error"",
  ""content"": {} }

• 1프레임 = 1블록 (JSON)
• done이 오면 응답 종료
• error에 retryable 플래그 포함",
WS: 행사 검색 (EVENT_SEARCH),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""이번 주말 서울 전시회"" }","응답 블록 순서:
intent → text_stream → events[] → done

events 블록:
{ ""items"": [
  { ""event_id"": ""uuid"",
    ""title"": ""string"",
    ""date_start"": ""date"",
    ""date_end"": ""date"",
    ""place_name"": ""string"",
    ""price"": ""string"",
    ""detail_url"": ""string"",
    ""source"": ""db"" | ""naver"" }
] }",
공유 대화 조회 (읽기 전용),공통,GET,/shared/{share_token},,,"Response (200 OK)
{ ""thread_title"": ""string"",
  ""messages"": [
    { ""role"": ""user"" | ""assistant"",
      ""blocks"": [...],
      ""created_at"": ""ISO 8601"" }
  ] }

• 인증 불필요 (공개 엔드포인트)
• 읽기 전용",
북마크 목록 조회,사용자,GET,/api/v1/users/me/bookmarks,"• thread_id (optional): 특정 대화 필터
• pin_type (optional): 핀 타입 필터
• cursor: 페이지네이션
• limit: 기본 20",,"Response (200 OK)
{ ""items"": [
    { ""bookmark_id"": ""uuid"",
      ""thread_id"": ""string"",
      ""thread_title"": ""string"",
      ""message_id"": ""string"",
      ""pin_type"": ""string"",
      ""preview_text"": ""string"",
      ""created_at"": ""ISO 8601"" }
  ],
  ""next_cursor"": ""string"" }",
북마크 생성,사용자,POST,/api/v1/users/me/bookmarks,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""pin_type"": ""place"" | ""event"" | ""course"" | ""analysis"" | ""general"",
  ""preview_text"": ""string"" }","Response (201 Created)
{ ""bookmark_id"": ""uuid"",
  ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""pin_type"": ""string"",
  ""preview_text"": ""string"",
  ""created_at"": ""ISO 8601"" }",
북마크 삭제,사용자,DELETE,/api/v1/users/me/bookmarks/{bookmark_id},,,Response (204 No Content),
WS: 단일 장소 분석 (ANALYSIS),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""이 카페 분석해줘"" }","응답 블록 순서:
intent → text_stream → analysis_sources → done

text_stream 내용:
""맛 4.3 / 서비스 3.0 / 분위기 4.0 / 가성비 3.8 / 청결 3.0 / 접근성 4.7
키워드: 넓은 좌석, 친절한 직원
요약: ...""",
WS: 일정 추가 (CALENDAR),채팅,WS,/api/v1/chat/ws,,"Client → Server:
{ ""type"": ""message"",
  ""content"": ""토요일 2시 경복궁 일정 추가"" }","응답 블록 순서:
intent → text_stream → calendar → done

calendar 블록:
{ ""event_title"": ""string"",
  ""start_time"": ""ISO 8601"",
  ""end_time"": ""ISO 8601"",
  ""location"": ""string"",
  ""calendar_link"": ""string"",
  ""status"": ""created"" | ""failed"" }",
