Phase,진행 여부,구분,주 기능,상세 기능,구현,상세 구현,비고,담당자
Phase 1,시작 전,행사,행사 추천,사용자 취향/맥락 기반 행사 추천. EVENT_SEARCH와 달리 추천 사유(references) 제공,LangGraph event_recommend 노드. events 테이블 + events_vector k-NN + LLM Rerank,WS 블록 순서: intent → status → text_stream → events[] → references → done. PLACE_RECOMMEND 패턴 대칭.,,한정수
Phase 1,시작 전,대화,대화: AI 피드백,AI 응답에 👍/👎 버튼으로 피드백을 남길 수 있음. 선택적으로 텍스트 코멘트도 작성 가능,AI 응답 피드백,"AI 응답 하단에 피드백 버튼 표시. 클릭 시 feedback 테이블에 (user_id, thread_id, message_id, rating, comment) 저장. 응답 품질 개선 데이터 수집용",,정조셉
Phase 1,시작 전,회원가입 / 로그인,프로필 수정 / 로그아웃,설정 페이지에서 닉네임/비밀번호 변경 가능. 로그아웃 버튼 클릭 시 로그인 화면으로 이동,프로필 수정 + 로그아웃,"닉네임 변경: PATCH /api/v1/users/me { ""nickname"": ""string"" }. 비밀번호 변경: PATCH /api/v1/users/me/password { ""old_password"": ""string"", ""new_password"": ""string"" }. 로그아웃: FE에서 JWT 토큰 삭제 + WS 연결 종료",,이정
Phase 1,시작 전,대화,대화: 제목 자동생성/수정,첫 번째 대화 후 AI가 자동으로 대화 제목을 생성해서 사이드바에 표시함. 사용자가 제목을 클릭하여 직접 수정할 수도 있음,대화 제목 자동 생성 + 수정,"첫 사용자 쿼리 + AI 응답 완료 후, LLM이 대화 요약을 한 줄 제목으로 생성 → conversations.title에 저장. 사이드바 목록에 반영. 사용자가 사이드바에서 제목 클릭 시 직접 수정 가능 (PATCH /api/v1/chats/{thread_id})",,이정
Phase 1,시작 전,대화,대화: 타임스탬프,각 메시지 옆에 작성 시각이 표시됨. 날짜가 바뀌면 구분선이 나타남,메시지 타임스탬프,"각 메시지 블록에 messages.created_at을 렌더링. 오늘이면 시:, 어제면 어제 HH:MM, 그 이상이면 M월 D일 HH:MM 형식. 날짜 구분선으로 일자별 그룹핑",,이정
Phase 1,시작 전,대화,대화: 공유,특정 응답이나 전체 대화를 공유 링크로 만들 수 있음. 공유받은 사람은 로그인 없이 읽기만 가능,대화 공유,공유 버튼 클릭 시 share_token 생성 → 공유 URL 발급 (/shared/{share_token}). 전체 대화 공유 또는 특정 메시지 범위 선택 가능. 공유받은 사람은 로그인 없이 읽기 전용으로 열람. 공유 링크 만료/해제 기능 포함,,이정
Phase 1,시작 전,대화,대화: 에러 처리,네트워크 끊김 시 자동 재연결. API 실패/타임아웃 시 에러 메시지 + “다시 시도” 버튼 표시,에러 처리 / 재시도,"WS 연결 끊김 시 자동 재연결 (exponential backoff). API 실패/LLM 타임아웃 시 { ""type"": ""error"", ""content"": { ""message"": ""string"", ""retryable"": true } } 블록 전송. retryable=true이면 “다시 시도” 버튼 표시",,이정
Phase 1,시작 전,대화,대화: 대화 삭제,채팅 목록에서 특정 대화를 삭제할 수 있음,대화 삭제,채팅 목록에서 삭제 버튼 또는 스와이프로 해당 thread 삭제. DELETE /api/v1/chats/{thread_id}. ON DELETE CASCADE로 messages 및 langgraph_checkpoints의 해당 thread 레코드가 함께 삭제된다 (ERD v6.2 FK 체인). 관련 북마크(P2 도입 이후)는 bookmarks.thread_id FK CASCADE로 자동 제거된다. 사용자가 탈퇴하면 users CASCADE 체인으로 동일하게 일괄 삭제된다.,,이정
Phase 1,시작 전,대화,대화: 응답 재생성,AI 응답이 마음에 안 들 때 “다시 생성” 버튼을 누르면 같은 질문에 대해 새로운 응답이 생성됨,응답 재생성 (Retry),AI 응답 하단의 “다시 생성” 버튼 클릭 시 마지막 assistant 메시지를 삭제하고 동일 user 메시지를 WS로 재전송. LLM의 비결정적 특성으로 다른 결과 생성,,이정
Phase 1,시작 전,대화,대화: 새 대화 시작,사이드바의 “+ 새 대화” 버튼을 누르면 새로운 빈 채팅창이 열림. 기존 대화는 목록에 유지,새 대화 시작,사이드바 “+ 새 대화” 버튼 클릭 시 새 thread_id를 생성하고 빈 채팅창으로 전환. 기존 대화는 사이드바 목록에 유지,,이정
